song_stem,file_or_dir,type,ok,size_bytes,mtime
lyrics_133,sample01.txt,file,OK,320,2025-09-22 11:01:47
lyrics_133,sample01_times.txt,file,OK,561,2025-09-22 11:01:49
lyrics_133,sample01_struct_time.json,file,OK,39,2025-09-22 11:01:49
lyrics_133,sample01_struct_label.json,file,OK,47,2025-09-22 11:01:49
lyrics_133,sample01.wav,file,OK,5227590,2025-09-22 11:02:03
lyrics_133,chord/chord_txt,dir,OK,1 files,
lyrics_133,chord/chord_btc_txt,dir,OK,1 files,
lyrics_134,sample01.mid,file,OK,1777,2025-09-22 11:02:58
lyrics_134,sample01.json,file,OK,34,2025-09-22 11:02:58
lyrics_134,sample01.txt,file,OK,327,2025-09-22 11:02:57
lyrics_134,sample01_times.txt,file,OK,568,2025-09-22 11:02:58
lyrics_134,sample01_struct_time.json,file,OK,39,2025-09-22 11:02:59
lyrics_134,sample01_struct_label.json,file,OK,47,2025-09-22 11:02:59
lyrics_134,sample01.wav,file,OK,5634668,2025-09-22 11:03:17
lyrics_134,chord/chord_txt,dir,OK,1 files,
lyrics_134,chord/chord_btc_txt,dir,OK,1 files,
lyrics_135,sample01.mid,file,OK,1739,2025-09-22 11:04:10
lyrics_135,sample01.json,file,OK,34,2025-09-22 11:04:10
lyrics_135,sample01.txt,file,OK,323,2025-09-22 11:04:09
lyrics_135,sample01_times.txt,file,OK,564,2025-09-22 11:04:10
lyrics_135,sample01_struct_time.json,file,OK,39,2025-09-22 11:04:11
lyrics_135,sample01_struct_label.json,file,OK,47,2025-09-22 11:04:11
lyrics_135,sample01.wav,file,OK,5024052,2025-09-22 11:04:25
lyrics_135,chord/chord_txt,dir,OK,1 files,
lyrics_135,chord/chord_btc_txt,dir,OK,1 files,
lyrics_136,sample01.mid,file,OK,1712,2025-09-22 11:05:19
lyrics_136,sample01.json,file,OK,34,2025-09-22 11:05:19
lyrics_136,sample01.txt,file,OK,321,2025-09-22 11:05:18
lyrics_136,sample01_times.txt,file,OK,562,2025-09-22 11:05:20
lyrics_136,sample01_struct_time.json,file,OK,39,2025-09-22 11:05:21
